City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
102,codrington,-38.2667,141.9667,6.140000000000043,92,7,2.94,AU,1717950882
103,wailua homesteads,22.0669,-159.378,23.439999999999998,82,100,4.12,US,1717950873
104,ketchikan,55.3422,-131.6461,12.970000000000027,40,75,3.09,US,1717950872
105,chonchi,-42.6128,-73.8092,10.560000000000002,82,93,3.1,CL,1717950944
106,pisco,-13.7,-76.2167,17.03000000000003,94,100,3.6,PE,1717950880
107,magistral'nyy,56.1725,107.4458,12.430000000000007,52,100,1.07,RU,1717950944
108,margaret river,-33.95,115.0667,15.460000000000036,61,100,12.23,AU,1717950873
109,jamestown,42.097,-79.2353,18.900000000000034,59,75,6.17,US,1717950706
110,sumenep,-7.0167,113.8667,26.160000000000025,87,8,4.33,ID,1717950945
111,kitimat,54.0524,-128.6534,15.510000000000048,73,100,1.79,CA,1717950945
112,dakhla,23.6848,-15.958,23.010000000000048,78,0,9.77,EH,1717950945
113,korla,41.7597,86.1469,27.460000000000036,20,100,3.82,CN,1717950874
114,staraya russa,57.9944,31.3608,17.210000000000036,62,100,5.11,RU,1717950945
115,leo,11.1,-2.1,37.460000000000036,29,62,0.26,BF,1717950945
116,naze,28.3667,129.4833,23.510000000000048,87,79,3.29,JP,1717950877
117,lebu,-37.6167,-73.65,12.960000000000036,85,49,7.41,CL,1717950697
118,lere,10.387,8.5726,22.670000000000016,88,66,1.06,NG,1717950945
119,leh,34.1667,77.5833,8.450000000000045,18,65,2.77,IN,1717950945
120,isafjordur,66.0755,-23.124,9.020000000000039,87,20,5.14,IS,1717950873
121,bussoleno,45.1403,7.1464,20.860000000000014,87,100,1.79,IT,1717950945
122,antigo,45.1402,-89.1523,18.400000000000034,59,100,5.66,US,1717950945
123,general cabrera,-32.8131,-63.8724,21.680000000000007,51,1,8.8,AR,1717950945
124,latnaya,51.6586,38.9011,24.939999999999998,72,9,2.46,RU,1717950945
125,gaspe,48.8334,-64.4819,13.120000000000005,94,100,2.57,CA,1717950945
126,conde,-7.2597,-34.9075,26.700000000000045,89,75,4.63,BR,1717950945
127,ma'rib,15.4591,45.3253,34.51000000000005,12,51,4.26,YE,1717950945
128,amursk,50.2261,136.8994,13.879999999999995,100,96,0.81,RU,1717950730
129,undurkhaan,47.3194,110.6556,17.52000000000004,56,92,4.53,MN,1717950945
130,dargecit,37.5454,41.7197,32.160000000000025,19,4,4.01,TR,1717950945
131,mount pearl,47.5166,-52.7813,16.189999999999998,67,100,4.12,CA,1717950813
132,bryne,58.7354,5.6477,12.189999999999998,89,75,9.26,NO,1717950871
133,carnarvon,-24.8667,113.6333,20.74000000000001,87,100,1.77,AU,1717950880
134,bardai,11.65,7.2333,34.78000000000003,32,52,4.25,NG,1717950945
135,tura,25.5198,90.2201,25.840000000000032,92,1,3.31,IN,1717950883
136,andorra,42.5,1.5,20.82000000000005,40,40,6.69,AD,1717950945
137,olonkinbyen,70.9221,-8.7187,-0.8499999999999659,81,90,7.81,SJ,1717950878
138,canon city,38.441,-105.2424,28.120000000000005,41,0,2.57,US,1717950946
139,tomohon,1.3346,124.8392,20.52000000000004,96,100,1.48,ID,1717950946
140,papao,-17.75,-149.55,25.82000000000005,81,92,7.46,PF,1717950886
141,udachny,66.4167,112.4,16.920000000000016,34,100,3.3,RU,1717950872
142,tara,56.8944,74.371,12.470000000000027,83,54,1.83,RU,1717950946
143,tazacorte,28.629,-17.9293,22.860000000000014,79,75,3.6,ES,1717950886
144,liwale,-9.7667,37.9333,19.590000000000032,72,43,1.8,TZ,1717950946
145,college,64.8569,-147.8028,20.650000000000034,47,75,2.06,US,1717950872
146,itoman,26.1247,127.6694,25.010000000000048,96,20,1.54,JP,1717950891
147,sarupathar,26.1984,93.8094,26.82000000000005,77,94,1.2,IN,1717950946
148,roma,43.2128,-75.4557,18.230000000000018,79,75,3.6,US,1717950878
149,siloam springs,36.1881,-94.5405,26.75,88,75,3.09,US,1717950678
150,toliara,-23.35,43.6667,19.410000000000025,59,1,8.5,MG,1717950880
151,ribeira grande,38.5167,-28.7,22.220000000000027,78,20,6.71,PT,1717950877
152,la passe,45.5549,-0.8967,24.129999999999995,74,75,7.77,FR,1717950885
153,gongchangling,41.1167,123.45,15.57000000000005,90,27,2.2,CN,1717950946
154,kaa-khem,51.6833,94.7333,20.78000000000003,63,93,2.45,RU,1717950946
155,new norfolk,-42.7826,147.0587,6.510000000000048,80,35,2.04,AU,1717950885
156,yorkton,51.2167,-102.4677,10.910000000000025,76,20,3.09,CA,1717950601
157,invercargill,-46.4,168.35,8.340000000000032,96,100,5.36,NZ,1717950875
158,sinop,41.7711,34.8709,16.890000000000043,82,0,0.79,TR,1717950879
159,flying fish cove,-10.4217,105.6791,25.82000000000005,83,100,5.14,CX,1717950875
160,tazovsky,67.4667,78.7,1.910000000000025,81,65,2.64,RU,1717950880
161,okhotsk,59.3833,143.3,3.2700000000000387,92,0,2.36,RU,1717950946
162,saint-francois,46.4154,3.9054,17.689999999999998,73,100,5.14,FR,1717950712
163,ancud,-41.8697,-73.8203,11.370000000000005,84,79,6.35,CL,1717950707
164,linhares,-19.3911,-40.0722,25.29000000000002,57,100,2.24,BR,1717950946
165,ust-nera,64.5667,143.2,5.160000000000025,57,79,1.94,RU,1717950878
166,polyarnyy,69.1989,33.4478,7.8700000000000045,76,15,7.4,RU,1717950888
167,la'ie,21.6477,-157.9253,25.980000000000018,77,9,3.58,US,1717950946
168,guerrero negro,27.9769,-114.0611,19.410000000000025,63,7,5.23,MX,1717950946
169,dikwa,12.024,13.9165,40.110000000000014,20,79,3.1,NG,1717950947
170,whitehorse,60.7161,-135.0538,17.670000000000016,30,75,4.63,CA,1717950875
171,bazarak,35.3129,69.5152,13.720000000000027,50,0,4.19,AF,1717950947
172,hinton,53.4001,-117.5857,4.6299999999999955,97,100,1.14,CA,1717950947
173,goiatuba,-18.0125,-49.3547,29.210000000000036,27,82,4.4,BR,1717950947
174,chetwayi,10.5333,76.05,27.590000000000032,82,100,4.41,IN,1717950947
175,ola,59.5833,151.2833,5.080000000000041,92,100,1.96,RU,1717950789
176,candolim,15.5181,73.7626,25.0,100,75,3.09,IN,1717950947
177,san antonio de pale,-1.4014,5.6325,25.100000000000023,79,70,4.73,GQ,1717950887
178,jayapura,-2.5333,140.7,24.660000000000025,93,56,2.15,ID,1717950947
179,manado,1.487,124.8455,25.430000000000007,94,40,0.51,ID,1717950940
180,sisimiut,66.9395,-53.6735,1.8700000000000045,98,100,1.58,GL,1717950883
181,alo,7.4178,6.7371,32.01000000000005,57,78,3.81,NG,1717950947
182,jurm,36.8648,70.8342,16.78000000000003,54,8,1.19,AF,1717950947
183,bandar-e lengeh,26.5579,54.8807,36.06,38,3,2.06,IR,1717950947
184,atafu village,-8.5421,-172.5159,28.30000000000001,74,100,3.86,TK,1717950877
185,kununurra,-15.7667,128.7333,12.990000000000009,88,49,0.0,AU,1717950888
186,thompson,55.7435,-97.8558,11.090000000000032,35,20,1.54,CA,1717950722
187,benguela,-12.5763,13.4055,23.379999999999995,85,29,3.37,AO,1717950947
188,ghat,24.9647,10.1728,37.31,5,0,4.16,LY,1717950947
189,crane,31.3974,-102.3501,33.960000000000036,22,18,1.2,US,1717950947
190,rikaze,29.25,88.8833,16.83000000000004,37,13,2.96,CN,1717950880
191,vilyuysk,63.7553,121.6247,13.890000000000043,75,36,2.68,RU,1717950789
192,tiksi,71.6872,128.8694,0.12000000000000455,96,96,2.46,RU,1717950875
193,kingston,17.997,-76.7936,32.31,66,75,10.29,JM,1717950875
194,vilyuchinsk,52.9306,158.4028,12.150000000000034,88,99,3.88,RU,1717950875
195,arkhangel'sk,64.5401,40.5433,16.060000000000002,51,20,2.0,RU,1717950946
196,karangampel,-6.4622,108.4519,27.210000000000036,79,7,3.89,ID,1717950947
197,svetlyy,54.675,20.1347,17.980000000000018,63,20,0.72,RU,1717950947
198,constantia,44.1833,28.65,29.379999999999995,68,77,7.21,RO,1717950725
199,lazaro cardenas,17.9583,-102.2,29.590000000000032,57,19,4.8,MX,1717950880
200,mitchell,43.7094,-98.0298,24.850000000000023,40,0,2.06,US,1717950947
201,mawlamyinegyunn,16.3833,95.2667,26.74000000000001,86,100,4.47,MM,1717950947
202,taro,-8.3862,115.28,22.0,100,100,0.69,ID,1717950947
203,miyako,39.6367,141.9525,15.460000000000036,94,100,2.62,JP,1717950948
204,ebaye,8.7748,167.7392,28.010000000000048,83,75,5.14,MH,1717950948
205,valparaiso,-33.0393,-71.6273,16.189999999999998,76,40,4.12,CL,1717950602
206,pandan,14.0453,124.1694,26.930000000000007,87,5,1.84,PH,1717950948
207,xining,36.6167,101.7667,14.79000000000002,55,100,1.63,CN,1717950885
208,dianella,-31.8942,115.8714,18.950000000000045,72,75,4.92,AU,1717950948
209,filadelfia,39.9523,-75.1638,26.230000000000018,58,75,7.2,US,1717950948
210,chibougamau,49.9168,-74.3659,12.79000000000002,94,100,3.6,CA,1717950883
211,genhe,50.7833,121.5167,9.830000000000041,97,100,0.89,CN,1717950887
212,utrik,11.2278,169.8474,28.370000000000005,80,78,6.04,MH,1717950881
213,sechura,-5.5569,-80.8222,23.670000000000016,57,82,4.13,PE,1717950803
214,hawaiian paradise park,19.5933,-154.9731,21.689999999999998,86,40,0.0,US,1717950872
215,qaqortoq,60.7167,-46.0333,6.260000000000048,96,100,1.66,GL,1717950876
216,soure,-0.7167,-48.5233,33.23000000000002,69,95,3.74,BR,1717950948
217,changyon,38.2508,125.0961,16.970000000000027,92,5,1.77,KP,1717950948
218,port blair,11.6667,92.75,24.02000000000004,94,100,2.57,IN,1717950948
219,labytnangi,66.6572,66.4183,10.210000000000036,60,100,4.01,RU,1717950886
220,susaki,33.3667,133.2833,18.04000000000002,92,100,1.96,JP,1717950948
221,westport,41.1415,-73.3579,23.03000000000003,77,100,3.58,US,1717950810
222,badger,64.8,-147.5333,20.600000000000023,49,75,2.06,US,1717950872
223,baikunthpur,23.25,82.55,32.84000000000003,35,33,1.68,IN,1717950948
224,bulusan,12.7518,124.1373,26.420000000000016,89,49,2.63,PH,1717950948
225,enewetak,11.3474,162.3373,28.30000000000001,82,100,7.19,MH,1717950876
226,mount gambier,-37.8333,140.7667,5.230000000000018,92,74,2.05,AU,1717950877
227,anloga,5.7947,0.8973,27.890000000000043,77,78,6.35,GH,1717950896
228,vernon,50.2581,-119.2691,21.450000000000045,35,98,1.54,CA,1717950860
229,hami,42.8,93.45,28.860000000000014,18,8,4.27,CN,1717950948
230,mora,11.0461,14.1401,36.64000000000004,27,21,3.93,CM,1717950880
231,happy valley-goose bay,53.3168,-60.3315,23.170000000000016,49,20,5.66,CA,1717950609
232,kerikeri,-35.2268,173.9474,17.730000000000018,95,100,4.47,NZ,1717950884
233,santa cruz del sur,20.7147,-77.9956,26.28000000000003,83,100,5.7,CU,1717950948
234,porto novo,6.4965,2.6036,28.900000000000034,76,76,4.41,BJ,1717950948
235,kavaratti,10.5669,72.642,28.060000000000002,84,100,5.85,IN,1717950896
236,halabjah,35.1778,45.9861,30.090000000000032,20,20,0.54,IQ,1717950948
237,qusmuryn,52.4503,64.6311,18.220000000000027,86,100,2.84,KZ,1717950949
238,bubaque,11.2833,-15.8333,26.760000000000048,79,82,3.83,GW,1717950879
239,nouadhibou,20.931,-17.0347,24.99000000000001,65,0,9.77,MR,1717950949
240,mumbwa,-14.9783,27.0619,17.5,54,2,3.51,ZM,1717950949
241,ilovlya,49.3033,43.9796,22.600000000000023,63,44,4.42,RU,1717950949
242,greymouth,-42.4667,171.2,13.78000000000003,95,100,4.82,NZ,1717950949
243,igarka,67.4667,86.5833,11.680000000000007,79,99,4.02,RU,1717950893
244,papatowai,-46.5619,169.4708,9.970000000000027,95,100,5.55,NZ,1717950875
245,nemuro,43.3236,145.575,9.960000000000036,95,100,6.26,JP,1717950949
246,kundiawa,-6.0167,144.9667,16.840000000000032,98,96,0.37,PG,1717950949
247,shamva,-17.3116,31.5756,19.230000000000018,38,99,2.63,ZW,1717950949
248,palamas,39.4667,22.0833,30.900000000000034,29,39,3.22,GR,1717950949
249,nagqu,31.5,92.0,9.110000000000014,52,89,1.97,CN,1717950879
250,saudarkrokur,65.7461,-19.6394,6.439999999999998,85,87,2.66,IS,1717950891
251,puerto carreno,6.189,-67.4859,33.99000000000001,55,40,1.54,CO,1717950949
252,warmbad,-28.45,18.7333,17.920000000000016,31,0,6.19,NA,1717950949
253,fuyuan,46.4333,127.0833,13.950000000000045,71,22,2.47,CN,1717950949
254,taunsa,30.7048,70.6505,32.879999999999995,25,92,2.76,PK,1717950949
255,ikom,5.9667,8.7063,26.450000000000045,92,81,1.77,NG,1717950949
256,saipan,15.1355,145.701,28.390000000000043,78,20,3.6,MP,1717950872
257,tillmans corner,30.5902,-88.1708,33.51000000000005,61,40,2.06,US,1717950949
258,cannonvale,-20.2833,148.7,18.660000000000025,78,0,2.57,AU,1717950890
259,khabary,53.6259,79.5345,13.439999999999998,82,51,3.62,RU,1717950949
260,bayanaul,50.7889,75.6956,21.120000000000005,57,63,4.33,KZ,1717950949
261,hadibu,12.65,54.0333,28.950000000000045,73,54,6.69,YE,1717950949
262,namtsy,62.7161,129.6658,10.800000000000011,49,0,2.73,RU,1717950790
263,shortandy,51.7006,70.9994,19.439999999999998,78,89,4.95,KZ,1717950949
264,kushnarenkovo,55.105,55.3508,15.640000000000043,89,40,1.75,RU,1717950949
265,cockburn town,21.4612,-71.1419,27.850000000000023,84,100,6.65,TC,1717950722
266,igatpuri,19.7,73.55,24.450000000000045,81,100,2.11,IN,1717950950
267,torres,-29.3353,-49.7269,28.260000000000048,69,12,3.86,BR,1717950950
268,fortuna,40.5982,-124.1573,14.990000000000009,88,100,1.54,US,1717950950
269,anadyr,64.75,177.4833,0.28000000000002956,100,0,3.0,RU,1717950874
270,severo-yeniseyskiy,60.3725,93.0408,8.100000000000023,98,84,1.34,RU,1717950892
271,dunedin,-45.8742,170.5036,8.78000000000003,99,100,5.36,NZ,1717950747
272,faro,37.0194,-7.9322,24.54000000000002,68,20,6.69,PT,1717950824
273,bokajan,26.0167,93.7833,26.850000000000023,73,87,1.44,IN,1717950950
274,abashiri,44.0213,144.2697,13.150000000000034,89,95,5.6,JP,1717950950
275,kayangel,8.0823,134.7173,29.05000000000001,76,99,4.88,PW,1717950889
276,kirakira,-10.4544,161.9205,26.99000000000001,87,69,4.34,SB,1717950950
277,tamanrasset,22.785,5.5228,36.950000000000045,8,40,5.14,DZ,1717950950
278,palmerston,-12.486,130.9833,18.99000000000001,85,0,1.54,AU,1717950950
279,longyearbyen,78.2186,15.6401,3.910000000000025,65,75,6.17,SJ,1717950873
280,general conesa,-40.1,-64.4333,19.170000000000016,27,77,10.81,AR,1717950892
281,nova vicosa,-17.8919,-39.3719,25.04000000000002,66,100,2.95,BR,1717950950
282,ilembula,-8.9,34.5833,16.28000000000003,60,37,4.67,TZ,1717950950
283,nogliki,51.8333,143.1667,9.080000000000041,85,100,3.58,RU,1717950950
284,morehead city,34.7229,-76.726,33.33000000000004,69,0,6.17,US,1717950950
285,port alfred,-33.5906,26.891,16.28000000000003,65,0,2.55,ZA,1717950873
286,port lincoln,-34.7333,135.8667,14.910000000000025,55,100,3.13,AU,1717950895
287,st. john's,47.5649,-52.7093,16.660000000000025,67,100,4.12,CA,1717950760
288,hammerfest,70.6634,23.6821,14.25,62,0,4.63,NO,1717950893
289,atasu,48.6814,71.6433,19.99000000000001,73,88,8.58,KZ,1717950950
290,nuuk,64.1835,-51.7216,5.340000000000032,100,100,8.23,GL,1717950600
291,magadan,59.5667,150.8,4.740000000000009,95,93,1.28,RU,1717950950
292,zalingei,12.9096,23.4741,24.860000000000014,68,92,3.03,SD,1717950950
293,taguatinga,-12.3857,-46.5711,33.620000000000005,24,87,3.05,BR,1717950950
294,susuman,62.7833,148.1667,3.8799999999999955,58,94,0.89,RU,1717950790
295,nova olinda do norte,-3.8881,-59.0942,30.840000000000032,67,53,0.93,BR,1717950950
296,ilulissat,69.2167,-51.1,4.010000000000048,75,40,3.09,GL,1717950872
297,poronaysk,49.2167,143.1167,8.370000000000005,95,100,0.82,RU,1717950950
298,puerto deseado,-47.7503,-65.8938,6.230000000000018,91,100,7.56,AR,1717950950
299,flin flon,54.7682,-101.865,9.910000000000025,62,20,2.06,CA,1717950755
300,ust'-kut,56.7938,105.7672,14.689999999999998,48,100,1.79,RU,1717950730
301,corvallis,44.5646,-123.262,20.610000000000014,66,0,4.12,US,1717950951
302,ciudad lazaro cardenas,17.9583,-102.2,29.590000000000032,57,19,4.8,MX,1717950670
303,taroa,8.7058,171.2275,28.25,79,66,6.28,MH,1717950951
304,renqiu,38.6989,116.0936,26.900000000000034,34,53,3.98,CN,1717950951
305,walvis bay,-22.9575,14.5053,22.08000000000004,33,35,4.14,NA,1717950892
306,vadso,70.0744,29.7487,7.490000000000009,87,75,5.14,NO,1717950883
307,colchani,-20.3,-66.9333,8.760000000000048,27,90,2.6,BO,1717950951
308,arraial do cabo,-22.9661,-42.0278,25.980000000000018,61,0,8.23,BR,1717950880
309,taraz,42.9,71.3667,24.230000000000018,50,75,3.0,KZ,1717950951
310,coquimbo,-29.9533,-71.3436,15.850000000000023,76,0,1.03,CL,1717950884
311,rawson,-43.3002,-65.1023,13.930000000000007,64,66,6.11,AR,1717950876
312,apolinario saravia,-24.4328,-63.9954,29.82000000000005,35,12,3.93,AR,1717950951
313,singkil,-7.9855,111.4161,24.360000000000014,93,94,1.97,ID,1717950951
314,touros,-5.1989,-35.4608,28.090000000000032,75,67,7.24,BR,1717950951
315,zhicheng,30.2956,111.5047,21.640000000000043,86,79,0.97,CN,1717950951
316,mount isa,-20.7333,139.5,6.8700000000000045,81,1,0.51,AU,1717950876
317,kedrovyy,56.1667,91.8167,10.230000000000018,97,23,2.46,RU,1717950951
318,altamira,-3.2033,-52.2064,32.05000000000001,70,40,1.03,BR,1717950816
319,indianola,41.3581,-93.5574,26.08000000000004,38,50,4.41,US,1717950951
320,ad dawadimi,24.5077,44.3924,40.64000000000004,8,53,4.77,SA,1717950879
321,ponte de sor,39.2496,-8.0101,24.760000000000048,56,100,5.01,PT,1717950951
322,tanjung pandan,-2.75,107.65,26.600000000000023,85,8,2.6,ID,1717950951
323,minas de marcona,-15.2119,-75.1103,17.83000000000004,53,21,4.8,PE,1717950951
324,shush,32.1942,48.2436,40.52000000000004,9,0,4.27,IR,1717950951
325,yashan,22.1975,109.9419,24.79000000000002,96,100,0.99,CN,1717950951
326,castillos,-34.1667,-53.8333,24.03000000000003,71,97,6.45,UY,1717950892
327,petropavlovsk-kamchatsky,53.0452,158.6483,11.330000000000041,63,75,6.26,RU,1717950951
328,wuyo,10.3852,11.6968,36.64000000000004,33,18,2.81,NG,1717950951
329,hamilton,39.1834,-84.5333,24.379999999999995,55,0,3.6,US,1717950656
330,axim,4.8699,-2.2405,27.08000000000004,81,98,3.73,GH,1717950951
331,robertsport,6.7533,-11.3686,28.120000000000005,79,14,4.84,LR,1717950951
